ID,대륙,여행지,기후,수질(경수/연수),별점,성별,나이,직업,피부타입,체감온도,습도,추천 화장품,추천 메이크업,추천 스킨케어,리뷰 내용
yeji_life,아시아,싱가포르,열대기후,연수,★★★★★,여성,27,마케터,지성,34°C (체감),85%,"피지 컨트롤 파우더, 워터프루프 선크림, 미스트","베이스는 얇게, 픽싱 스프레이로 마무리해 번들거림 방지. 아이라이너는 워터프루프 필수.","저녁에 이중세안 필수, 가벼운 젤 타입 로션 위주로 유수분 밸런스 유지.",습도가 높아서 파운데이션이 계속 뜨더라고요. 워터프루프 제품 없이는 3시간도 못 버텼어요.
funtraveler_world,아시아,싱가포르,열대기후,연수,★★★☆☆,남성,34,회사원,복합성,33°C (체감),80%,"선크림 SPF50+, 블로팅 페이퍼, 쿨링 토너","남성용 톤업크림 정도만 가볍게, 유분 많은 제품은 피하기.","외출 전후 블로팅 페이퍼로 피지 제거, 쿨링 토너로 진정.",야외 일정이 많았는데 선크림 안 바르면 바로 붉어졌어요. 자주 덧발라야 합니다.
backpacklife_daily,아시아,싱가포르,열대기후,연수,★★★★☆,여성,22,대학생,건성,32°C (체감),78%,"수분 세럼, 저자극 선크림, 쿠션 팩트","쿠션은 촉촉 타입으로, 하이라이터는 최소화.",에어컨 실내가 많아 건조해지기 쉬우니 수분 세럼 필수 휴대.,실내는 에어컨 때문에 건조하고 밖은 습해서 피부가 오락가락했어요.
backpacklife_ing,아시아,싱가포르,열대기후,연수,★★★★☆,남성,41,자영업,민감성,35°C (체감),82%,"저자극 선크림, 진정 스프레이, 쿨링 시트마스크","메이크업은 생략 권장, 톤업 선크림으로 대체.","자외선 노출 후 진정 스프레이로 즉시 쿨링, 저녁엔 시트마스크로 진정 케어.",더위에 피부가 예민해져서 평소 안 쓰던 진정 제품을 계속 챙겨 발랐어요.
sensitiveskin_love,아시아,싱가포르,열대기후,연수,★★★★★,여성,30,디자이너,지성,34°C (체감),83%,"매트 선크림, 픽싱 스프레이, 유분 흡수 패드",매트 베이스 + 픽싱 스프레이 조합으로 지속력 강화.,"낮 동안 유분 흡수 패드로 T존 관리, 밤엔 클레이 마스크 추천.",사진 찍을 일이 많았는데 매트 선크림 덕분에 오래 유지됐어요.
glowup_diary,아시아,일본,온대기후,연수,★★★☆☆,여성,26,간호사,건성,18°C (체감),55%,"고보습 크림, 립밤, 수분 앰플",촉촉한 쿠션과 크림 블러셔로 생기 있는 룩 연출.,건조한 날씨라 고보습 크림과 앰플로 수분 층 강화.,가을 날씨라 입술이 자주 텄어요. 립밤 없이는 하루도 못 버텼습니다.
coolbreeze07,아시아,일본,온대기후,연수,★★★☆☆,남성,29,IT개발자,복합성,20°C (체감),58%,"올인원 로션, 선크림, 미스트",가벼운 톤업로션 정도로 자연스럽게.,환절기 피부라 올인원 로션으로 간편하게 보습 유지.,일교차가 커서 아침저녁으로 피부 컨디션이 달랐어요.
hyejin_92,아시아,일본,온대기후,연수,★★★★☆,여성,33,교사,민감성,16°C (체감),50%,"저자극 크림, 진정 토너, 수분 마스크팩","저자극 톤업크림 위주, 색조는 최소화.",일교차로 예민해진 피부에 저자극 진정 라인 사용 권장.,건조하고 쌀쌀해서 얼굴이 당기고 붉어지는 느낌이 있었어요.
areum23,아시아,일본,온대기후,연수,★★★★☆,남성,45,사업가,지성,22°C (체감),60%,"산뜻한 로션, 선크림, 블로팅 페이퍼","가벼운 산뜻한 로션 타입 선호, 유분 적은 제품 위주.",낮 동안 블로팅 페이퍼로 피지 관리.,날씨는 선선했는데 실내 난방 때문에 오히려 번들거렸어요.
sora_k,아시아,일본,온대기후,연수,★★★★★,여성,24,승무원,복합성,19°C (체감),52%,"수분 크림, 립틴트, 선쿠션",촉촉한 선쿠션 + 립틴트로 화사한 인상 연출.,건조함 방지를 위해 수분 크림 두껍게 레이어링.,실내외 온도차가 커서 수분크림을 자주 덧발라야 했어요.
clearskin_log,유럽,이탈리아,온대기후,경수,★★★★★,여성,31,회계사,건성,29°C (체감),40%,"고보습 선크림, 미스트, 영양 크림",촉촉한 베이스에 크림 타입 블러셔로 생기 부여.,건조한 지중해성 기후라 미스트를 수시로 뿌려 수분 보충.,덥긴 한데 습도가 낮아서 피부가 건조해지고 당겼어요.
barefaced_vibe,유럽,이탈리아,온대기후,경수,★★★★☆,남성,38,건축가,복합성,31°C (체감),38%,"선크림 SPF50, 쿨링 미스트, 로션",가벼운 톤업크림에 선크림 덧바르기.,강한 햇빛 대비 SPF 높은 제품과 쿨링 미스트로 열감 진정.,햇빛이 정말 강해서 선크림을 2~3시간마다 덧발라야 했어요.
nari99,유럽,이탈리아,온대기후,경수,★★★★☆,여성,25,프리랜서,민감성,28°C (체감),42%,"저자극 선크림, 진정 젤, 수분 세럼","메이크업 최소화, 톤업 선크림으로 마무리.","자외선 노출 후 진정 젤로 쿨다운, 세럼으로 수분 보충.",건조하고 자외선이 강해서 피부가 금방 예민해졌어요.
taeyang_love,유럽,이탈리아,온대기후,경수,★★★★★,남성,50,여행가이드,지성,33°C (체감),35%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",매트한 베이스로 유분 컨트롤.,야외 활동이 많아 쿨링 토너로 자주 진정 관리.,야외 관광이 많아서 자외선 대비가 정말 중요했습니다.
minjun01,유럽,이탈리아,온대기후,경수,★★★☆☆,여성,29,포토그래퍼,복합성,30°C (체감),39%,"톤업 선크림, 수분 쿠션, 립밤",톤업 선크림 위에 수분 쿠션으로 자연스러운 마무리.,건조한 낮은 습도 대비 립밤과 수분 쿠션 필수 휴대.,낮은 습도 때문에 입술이 잘 트고 화장이 들떴어요.
mistyday_mode,아시아,대만,열대기후,연수,★★★★★,여성,28,카페 운영,지성,33°C (체감),88%,"피지 컨트롤 선크림, 픽싱 미스트, 블로팅 페이퍼",얇은 베이스 + 픽싱 미스트로 습기에 대비.,고습도라 유분 컨트롤 세안제와 산뜻한 로션 위주 관리.,습도가 정말 높아서 화장이 30분 만에 무너졌어요.
frostyvibe_world,아시아,대만,열대기후,연수,★★★★★,남성,36,무역업,복합성,34°C (체감),85%,"선크림, 쿨링 젤, 미스트","톤업크림 정도만, 유분 많은 제품 지양.","쿨링 젤로 열감 완화, 미스트로 수시 진정.",야시장 다니는 내내 땀 때문에 끈적임이 심했어요.
yerin99,아시아,대만,열대기후,연수,★★★★★,여성,23,대학원생,민감성,32°C (체감),83%,"저자극 선크림, 진정 스프레이, 수분 시트마스크","색조는 최소화, 저자극 선크림 위주.",습하고 더운 날씨에 예민해진 피부는 진정 스프레이로 관리.,습기와 더위가 겹쳐 뾰루지가 갑자기 올라왔어요.
funtraveler07,아시아,대만,열대기후,연수,★☆☆☆☆,남성,42,요리사,지성,35°C (체감),87%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",매트 베이스로 유분과 땀 컨트롤.,블로팅 페이퍼와 쿨링 토너로 수시로 피지 관리.,주방 열기까지 더해져서 하루 종일 번들거림과 싸웠어요.
daeun_ing,아시아,대만,열대기후,연수,★★★☆☆,여성,27,일러스트레이터,건성,31°C (체감),80%,"가벼운 수분 선크림, 쿠션, 미스트",가벼운 수분 쿠션으로 습기에도 밀리지 않게.,습도는 높지만 에어컨 실내 이동이 많아 미스트로 수분 보충.,실내외 온습도 차이가 커서 피부가 계속 오락가락했어요.
clearskin_official,아시아,몽골,건조기후,경수,★★☆☆☆,남성,35,사진작가,건성,8°C (체감),25%,"고보습 크림, 립밤, 영양 오일","메이크업보다 보습 위주, 톤업크림 정도만.",극도로 건조한 초원 기후라 영양 오일과 고보습 크림 필수.,너무 건조해서 얼굴이 갈라질 것 같았어요. 오일 없이는 힘들었습니다.
jiwoo01,아시아,몽골,건조기후,경수,★★★★☆,여성,26,여행작가,복합성,10°C (체감),28%,"수분 크림, 선크림, 립밤",촉촉한 크림 베이스로 건조함 커버.,일교차가 크고 자외선도 강해 수분크림과 선크림 동시 관리.,낮엔 햇빛이 강하고 밤엔 추워서 피부가 힘들어했어요.
gina_world,아시아,몽골,건조기후,경수,★★★★★,남성,48,가이드,민감성,5°C (체감),22%,"저자극 크림, 진정 밤, 립밤","색조 생략, 저자극 보습크림으로 보호막 형성.",건조하고 찬바람에 트러블 발생 쉬워 진정 밤으로 집중 케어.,바람이 강하고 건조해서 볼과 입술이 계속 텄어요.
frostyvibe_official,아시아,몽골,건조기후,경수,★★★★★,여성,30,수의사,지성,12°C (체감),30%,"수분 로션, 선크림, 미스트",가벼운 수분 로션 후 톤업크림으로 마무리.,지성 피부여도 건조한 기후 특성상 수분 공급이 우선.,평소 지성인데도 여기서는 피부가 당기고 건조해졌어요.
yerin_world,아시아,몽골,건조기후,경수,★★★★☆,남성,40,다큐멘터리 감독,건성,6°C (체감),20%,"고보습 크림, 선크림, 핸드크림",메이크업 없이 보습 관리에 집중.,밤낮 기온차가 커서 고보습 크림과 핸드크림 수시 사용 권장.,손과 얼굴이 다 트더라고요. 보습 제품을 몇 개는 챙겨가야 해요.
calmnface_life,아시아,싱가포르,열대기후,연수,★★★★★,남성,23,간호사,지성,34°C (체감),78%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
chillmode07,아시아,싱가포르,열대기후,연수,★☆☆☆☆,여성,30,사진작가,지성,36°C (체감),81%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
frostyvibe_daily,아시아,싱가포르,열대기후,연수,★★★★☆,남성,37,엔지니어,지성,31°C (체감),84%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
jaewon_diary,아시아,싱가포르,열대기후,연수,★★★★★,여성,44,약사,지성,33°C (체감),87%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
serumfan01,아시아,싱가포르,열대기후,연수,★★★☆☆,남성,51,트레이너,지성,35°C (체감),90%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
jetsetter_k,아시아,일본,온대기후,연수,★★★★★,남성,25,바리스타,민감성,18°C (체감),46%,"수분 크림, 립틴트, 선쿠션",촉촉한 쿠션과 크림 블러셔로 생기 있는 룩을 연출하는 것을 추천합니다.,환절기 피부 컨디션 변화에 대비해 올인원 로션으로 간편하게 보습을 유지하세요.,사계절이 뚜렷한 곳이라 그런지 여행 기간 내내 온도 변화에 신경 써야 했어요.
clearskin_92,아시아,일본,온대기후,연수,★★☆☆☆,여성,32,프로그래머,민감성,20°C (체감),49%,"수분 크림, 선크림, 립밤",가벼운 톤업로션 정도로 자연스럽게 표현하는 메이크업이 잘 어울립니다.,일교차로 예민해지기 쉬운 피부에는 저자극 진정 라인 사용을 권장합니다.,생각보다 자외선이 강해서 선크림을 안 쓰면 금방 붉어졌어요.
quinn_vibe,아시아,일본,온대기후,연수,★★★★☆,남성,39,프리랜서,민감성,22°C (체감),52%,"올인원 로션, 선크림, 미스트",저자극 톤업크림 위주로 하고 색조는 최소화하는 것을 권장합니다.,실내 난방·냉방으로 건조해지기 쉬우니 블로팅 페이퍼와 미스트를 함께 챙기세요.,쾌적한 날씨였지만 건조해서 립밤과 수분크림을 자주 발라야 했어요.
beautyaddict07,아시아,일본,온대기후,연수,★★★★☆,여성,46,디자이너,민감성,24°C (체감),55%,"저자극 크림, 진정 토너, 수분 마스크팩",가벼운 산뜻한 로션 타입으로 유분이 적은 제품 위주로 사용하세요.,실내외 온도차가 큰 날에는 수분크림을 자주 덧발라 주는 것이 좋습니다.,일교차가 커서 아침저녁으로 피부 컨디션이 완전히 달랐어요. 저자극 크림이 도움이 됐어요.
jiyeon_life,아시아,일본,온대기후,연수,★★★★★,남성,53,승무원,민감성,26°C (체감),58%,"산뜻한 로션, 선크림, 블로팅 페이퍼",촉촉한 선쿠션과 립틴트로 화사한 인상을 연출할 수 있습니다.,일교차가 크므로 수분 크림으로 아침저녁 보습을 꼼꼼히 챙겨주세요.,날씨는 선선했는데 실내 난방 때문에 오히려 피부가 건조하고 번들거렸어요.
toneuplife_diary,유럽,이탈리아,온대기후,경수,★★★★☆,남성,53,건축가,지성,26°C (체감),54%,"저자극 크림, 진정 토너, 수분 마스크팩",가벼운 산뜻한 로션 타입으로 유분이 적은 제품 위주로 사용하세요.,실내외 온도차가 큰 날에는 수분크림을 자주 덧발라 주는 것이 좋습니다.,일교차가 커서 아침저녁으로 피부 컨디션이 완전히 달랐어요. 저자극 크림이 도움이 됐어요.
minseo_note,유럽,이탈리아,온대기후,경수,★★★★★,여성,20,일러스트레이터,지성,28°C (체감),57%,"산뜻한 로션, 선크림, 블로팅 페이퍼",촉촉한 선쿠션과 립틴트로 화사한 인상을 연출할 수 있습니다.,일교차가 크므로 수분 크림으로 아침저녁 보습을 꼼꼼히 챙겨주세요.,날씨는 선선했는데 실내 난방 때문에 오히려 피부가 건조하고 번들거렸어요.
dohyun01,유럽,이탈리아,온대기후,경수,★★★★★,남성,27,회사원,지성,16°C (체감),60%,"수분 크림, 립틴트, 선쿠션",촉촉한 쿠션과 크림 블러셔로 생기 있는 룩을 연출하는 것을 추천합니다.,환절기 피부 컨디션 변화에 대비해 올인원 로션으로 간편하게 보습을 유지하세요.,사계절이 뚜렷한 곳이라 그런지 여행 기간 내내 온도 변화에 신경 써야 했어요.
urbanexplorer99,유럽,이탈리아,온대기후,경수,★★☆☆☆,여성,34,교사,지성,18°C (체감),63%,"수분 크림, 선크림, 립밤",가벼운 톤업로션 정도로 자연스럽게 표현하는 메이크업이 잘 어울립니다.,일교차로 예민해지기 쉬운 피부에는 저자극 진정 라인 사용을 권장합니다.,생각보다 자외선이 강해서 선크림을 안 쓰면 금방 붉어졌어요.
soojin_k,유럽,이탈리아,온대기후,경수,★★★★★,남성,41,요리사,지성,20°C (체감),46%,"올인원 로션, 선크림, 미스트",저자극 톤업크림 위주로 하고 색조는 최소화하는 것을 권장합니다.,실내 난방·냉방으로 건조해지기 쉬우니 블로팅 페이퍼와 미스트를 함께 챙기세요.,쾌적한 날씨였지만 건조해서 립밤과 수분크림을 자주 발라야 했어요.
dewyskin_vibe,아시아,대만,열대기후,연수,★★★☆☆,여성,40,마케터,민감성,31°C (체감),79%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
toneuplife_k,아시아,대만,열대기후,연수,★★★★★,남성,47,공무원,민감성,33°C (체감),82%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
tintedlips_log,아시아,대만,열대기후,연수,★☆☆☆☆,여성,54,회계사,민감성,35°C (체감),85%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
